strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
400;VIA DEL BRENNERO;4;entrambi;dalla rotonda all' incrocio con  Via A. Pranzelores (compresa) a Largo N. Sauro;;08/05/23;20.15;04.00;19.00;05.00;04/05/23;20/03/23;
400;VIA DEL BRENNERO;4;entrambi;da rotatoria Bren Center sino via Bolzano;;08/05/23;20.15;04.00;19.00;05.00;04/05/23;20/03/23;
3880;VIA CADUTI DI NASSIRIYA;4;entrambi;;;08/05/23;20.15;04.00;19.00;05.00;04/05/23;20/03/23;
90;VIA V. ALFIERI;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
240;VIA R. BELENZANI;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
680;VIA CAMILLO BENSO CAVOUR;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1040;PIAZZA DUOMO;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1230;VIA G. GARIBALDI;5;entrambi;da incrocio Piazza Duomo a incrocio Piazza Pasi;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1550;PIAZZA LODRON;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1700;VIA G. MANCI;5;entrambi;da incrocio Via R. Belenzani a incrocio Via V. Alfieri;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2110;VIA DELLE ORFANE;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2270;PIAZZA M. PASI;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2480;PIAZZA DELLA PORTELLA;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2490;VIA A. POZZO;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2640;VIA ROMA;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2770;VIA SAN GIOVANNI;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2990;PIAZZA S. MARIA MAGGIORE;5;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
230;PIAZZA C. BATTISTI;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
610;LARGO G. CARDUCCI;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
980;VIA C. DORDI;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1070;PIAZZA DELLE ERBE;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1200;VIA G. GALILEI;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1700;VIA G. MANCI;6;entrambi;da  incrocio Via V. Alfieri a incrocio Via San Pietro;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
1710;VIA MANTOVA;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2610;VIA ROCCABRUNA;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2800;VIA SAN MARCO;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2860;VIA SAN PIETRO;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
2910;VIA DEL SIMONINO;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
3490;P.ZZA ALESSANDRO VITTORIA;6;entrambi;;;05/05/23;20.15;02.30;19.00;05.00;03/05/23;20/03/23;
390;VIA G. BORSIERI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
530;VIA CALEPINA;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1080;VIA C. ESTERLE;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1110;VIA F. FERRUCCIO;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1130;PIAZZA DI FIERA;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1230;VIA G. GARIBALDI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1260;PIAZZA G.B. GARZETTI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1620;VIA A. MAFFEI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1750;VIA L. MARCHETTI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
1840;VIA G. MAZZINI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
2160;VIA DEGLI ORTI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
2510;VIA G. PRATI;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
2970;VIA S. MARIA MADDALENA;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
3000;VIA SANTA TRINITA';7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
3320;VIA AL TORRIONE;7;entrambi;;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
3440;VIA G. VERDI;7;entrambi;da  incrocio Via A. Rosmini a Piazza Duomo;;09/05/23;20.15;04.00;19.00;05.00;05/05/23;20/03/23;
30;VIA J. ACONCIO;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
120;VIA F. AMBROSI;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
700;PIAZZA DI CENTA;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
970;VIA DOGANA;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
1280;VIA A. GAZZOLETTI;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2360;VIA F. PETRARCA;8;entrambi;compreso parcheggio Petrarca;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2650;VIA G.D. ROMAGNOSI;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3030;PIAZZA RAFFAELLO SANZIO;8;entrambi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3100;VIA G. SEGANTINI;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3370;VIA C. VANNETTI;8;entrambi;;;27/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
140;VIA ANTONIO DA TRENTO;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
395;LUNGADIGE L. BRAILLE;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
480;CORSO M. BUONARROTI;9;est;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
500;VIA C. BUSETTI;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
1010;VIA DOS TRENTO;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
1170;VIA FELICE E G. FONTANA;9;entrambi;rotatoria incrocio con Via G. Pedrotti Lungadige L. Braille e VIa Druso;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
1410;VIA F. GUARDI;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
1520;LUNGADIGE G. LEOPARDI;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
1540;VIA DRUSO;9;entrambi;compreso Ponte San Giorgio;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
2310;VIA G. PEDROTTI;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
3080;VIA G.A. SCOPOLI;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
3630;VIA BEPI MOR;9;entrambi;;;02/05/23;20.15;04.00;19.00;05.00;27/04/23;20/03/23;
100;CORSO DEGLI ALPINI;10;ovest;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
100;CORSO DEGLI ALPINI;10;entrambi;rotatoria all' incrocio con  Via E. Maccani;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
420;VIA G. BRESADOLA;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
520;VIA CAIO VALERIO MARIANO;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
570;PIAZZA GEN. A. CANTORE;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1020;VIA DOSSO DOSSI;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1460;VIA G. B. LAMPI;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1480;VIA LAVISOTTO;10;entrambi;dal cavalcavia verso Via Stoppani;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1570;VIA E. MACCANI;10;entrambi;rotatoria incrocio Via Caduti di Nassiriya;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1570;VIA E. MACCANI;10;ovest;da rotatoria incrocio Via Caduti di Nassiriya a Corso degli Alpini;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1770;LUNGADIGE MARCO APULEIO;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
1970;VIA C. MORONE;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
2070;VIA G. OBERZINER;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
3190;VIA A. STOPPANI;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
3511;PIAZZALE C. RUSCONI;10;entrambi;;;29/03/23;20.15;04.00;19.00;05.00;27/03/23;20/03/23;
20;VIA A. ABONDI;11;entrambi;da incrocio via Maccani a incrocio via Pancheri;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
100;CORSO DEGLI ALPINI;11;est;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
480;CORSO M. BUONARROTI;11;ovest;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
1170;VIA FELICE E G. FONTANA;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
1570;VIA E. MACCANI;11;est;da Corso degli Alpini  a rotatoria incrocio Via Caduti di Nassiriya;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
1660;VIA DELLA MALVASIA;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
2320;PIAZZA S. PELLICO;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
2820;VIA SAN MARTINO;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
3050;LARGO N. SAURO;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
3290;VIA TORRE D'AUGUSTO;11;entrambi;da Via A. Manzoni ad Hotel Monaco;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
3590;VIA DI CAMPOTRENTINO;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
3650;VIA A. SCHMID;11;entrambi;;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
3660;VIA L. SENESI;11;entrambi;compreso parcheggi;;05/04/23;20.15;04.00;19.00;05.00;03/04/23;20/03/23;
350;VIA B. BOMPORTO;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
440;VIA DI BRIAMASCO;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
1500;PIAZZA LEONARDO DA VINCI;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2060;VICOLO AL NUOTO;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2260;VIA G. PASCOLI;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2530;VIA DELLA PREPOSITURA;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2670;VIA A. ROSMINI;12;est;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2960;VIA SANTA MARGHERITA;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
2990;PIAZZA S. MARIA MAGGIORE;12;entrambi;tratto da Via della Prepositura a Via A. Rosmini;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3220;VIA T. TARAMELLI;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3340;VIA DEL TRAVAI;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3440;VIA G. VERDI;12;entrambi;da incrocio Via A. Rosmini a  Via R. da Sanseverino;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
3540;VIA DON G. B. ZANELLA;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
4030;PIAZZALE DELLA ZUFFO;12;entrambi;;;28/03/23;20.15;04.00;19.00;05.00;23/03/23;20/03/23;
310;VIA E. BEZZI;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
430;VIA BRESCIA;13;entrambi;tratto di Ponte San Lorenzo;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
560;VIA G. CANESTRINI;13;entrambi;tratto dalla ferrovia a incrocio con Via T. Gar;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
1220;VIA T. GAR;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
1350;VIA G. GIUSTI;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
1420;VIA V. INAMA;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
1930;VIA MONTE BALDO;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
3420;VIA 24 MAGGIO;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
3510;VIA VITTORIO VENETO;13;entrambi;da Via Monte Baldo a Largo E. Prati compreso entrata Maso Ginocchio;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
3510;VIA VITTORIO VENETO;13;entrambi;da incrocio via Bezzi a Largo Prati;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
3845;VIA SAN LORENZO;13;entrambi;;;04/05/23;20.15;04.00;19.00;05.00;02/05/23;20/03/23;
210;VIA F. BARBACOVI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
450;VIA BRIGATA ACQUI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
1060;VIA MONS. C. ENDRICI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
1400;VIA DON GIUSEPPE GRAZIOLI;14;sud;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
1600;VIA CARD. C. MADRUZZO;14;entrambi;da incrocio Via 24 Maggio a incrocio Via A. Rosmini;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
2250;VIA DEI PARADISI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
2445;LARGO L. PIGARELLI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
2450;VIA C. A. PILATI;14;entrambi;;;03/04/23;20.15;04.00;19.00;05.00;30/03/23;20/03/23;
