VIA DOSSI,10/10/2016,,,
VIA DRUSO,10/10/2016,,,compreso ponte S.Giorgio
VIA EINAUDI,03/11/2016,,,
VIA ENDRICI,17/10/2016,,,
VIA ESTERLE,06/10/2016,20:00,22:30,
VIA F.LLI FONTANA,12/10/2016,,,
VIA FERMI,04/11/2016,,,fino sottopasso ferrovia
VIA FILZI,19/10/2016,,,
VIA FIUME,25/10/2016,,,
VIA FOGAZZARO,26/10/2016,,,
VIA FRANK,03/11/2016,,,compreso laterale da Via Frank a Via Degasperi
VIA GALILEI,05/10/2016,20:00,22:30,
VIA GANDHI,03/11/2016,,,fino a Via Volta
VIA GAR,14/10/2016,,,
VIA GARIBALDI,06/10/2016,20:00,22:30,
VIA GAZZOLETTI,18/10/2016,,,
VIA GEROLA,28/10/2016,,,
VIA GHIAIE,31/10/2016,,,compreso tratto entrata maso Smalz
VIA GILLI,07/11/2016,,,
VIA GIOVANELLI,25/10/2016,,,
VIA GIUSTI,14/10/2016,,,
VIA GOCCIADORO,26/10/2016,,,dal Largo D.V. Sangue alle Arcate
VIA GOCCIADORO,28/10/2016,,,dal Ponte Cavalleggeri a Largo D.V. Sangue
VIA GORIZIA,28/10/2016,,,bassa
VIA GORIZIA,27/10/2016,,,alta
VIA GRAMSCI,03/11/2016,,,
VIA GRAZIOLI,17/10/2016,,,lato sud
VIA GRAZIOLI,25/10/2016,,,lato nord
VIA GUARDI,10/10/2016,,,
VIA GUARDINI,07/11/2016,,,
VIA INAMA,14/10/2016,,,
VIA LA CLARINA,03/11/2016,,,compresa laterale da Via Clarina a Via Degasperi
VIA LAMPI,11/10/2016,,,
VIA LAVISOTTO,11/10/2016,,,
VIA LORENZONI,20/10/2016,,,
VIA LUNELLI,07/11/2016,,,compresi parcheggi
VIA MACCANI,11/10/2016,,,lato ovest - da C.so Alpini fino rotatoria e parcheggi rotatoria
VIA MACCANI,12/10/2016,,,lato est - da C.so Alpini a rotatoria
VIA MACCANI,09/11/2016,,,dalla rotatoria fino a rotatoria Roncafort
VIA MADRUZZO,17/10/2016,,,da Via 24 Maggio al cimitero
VIA MADRUZZO,19/10/2016,,,fino a Via 3 Novembre
VIA MAESTRI DEL LAVORO,09/11/2016,,,
VIA MAFFEI,06/10/2016,20:00,22:30,
VIA MALFATTI,24/10/2016,,,
VIA MALPAGA,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA MALPAGA,06/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA MALTA,26/10/2016,,,
VIA MALVASIA,12/10/2016,,,
VIA MANCI,05/10/2016,20:00,22:30,
VIA MANTOVA,05/10/2016,20:00,22:30,
VIA MANTOVANA,24/10/2016,,,
VIA MANZONI,18/10/2016,,,tutta
VIA MARCONI,07/11/2016,,,
VIA MARIANO,11/10/2016,,,
VIA MARIGHETTO,02/11/2016,,,
VIA MARSALA,02/11/2016,,,
VIA MARTINI,21/10/2016,,,
VIA MATTEOTTI,20/10/2016,,,lato sud
VIA MATTEOTTI,21/10/2016,,,lato nord
VIA MATTIOLI,19/10/2016,,,
VIA MAZZINI,06/10/2016,20:00,22:30,
VIA MAZZINI,03/10/2016,22:30,03:30,lavaggio a mano con idrante – marciapiedi
VIA MAZZINI,06/10/2016,22:30,03:30,lavaggio a mano con idrante – marciapiedi
VIA MEDICI,02/11/2016,,,
VIA MELTA,09/11/2016,,,
VIA MENGUZZATO,04/11/2016,,,
VIA MILANO,26/10/2016,,,lato sud
VIA MILANO,27/10/2016,,,lato nord
VIA MOLINI,25/10/2016,,,
VIA MONTE BALDO,14/10/2016,,,
VIA MONTE CORNO,20/10/2016,,,
VIA MONTEGRAPPA,08/11/2016,,,
VIA MONTELLO,31/10/2016,,,
VIA MORONE,11/10/2016,,,
VIA MUREDEI,20/10/2016,,,
VIA NICOLO' D'ARCO,28/10/2016,,,
VIA NICOLODI,27/10/2016,,,
VIA NICOLODI,31/10/2016,,,
VIA OBERZINER,11/10/2016,,,
