strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
700;PIAZZA DI CENTA;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
3030;PIAZZA RAFFAELLO SANZIO;8;entrambi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
1280;VIA A. GAZZOLETTI;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
3370;VIA C. VANNETTI;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
970;VIA DOGANA;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
120;VIA F. AMBROSI;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
2360;VIA F. PETRARCA;8;entrambi;compreso parcheggio Petrarca;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
3100;VIA G. SEGANTINI;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
2650;VIA G.D. ROMAGNOSI;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
30;VIA J. ACONCIO;8;entrambi;;;28/03/22;20.15;04.00;19.00;05.00;24/03/22;17/03/22;
1500;PIAZZA LEONARDO DA VINCI;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2990;PIAZZA S. MARIA MAGGIORE;12;entrambi;tratto da Via della Prepositura a Via A. Rosmini;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
4030;PIAZZALE DELLA ZUFFO;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2670;VIA A. ROSMINI;12;est;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
350;VIA B. BOMPORTO;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
3340;VIA DEL TRAVAI;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2530;VIA DELLA PREPOSITURA;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
440;VIA DI BRIAMASCO;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
3540;VIA DON G. B. ZANELLA;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2260;VIA G. PASCOLI;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
3440;VIA G. VERDI;12;entrambi;da incrocio Via A. Rosmini a  Via R. da Sanseverino;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2960;VIA SANTA MARGHERITA;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
3220;VIA T. TARAMELLI;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
2060;VICOLO AL NUOTO;12;entrambi;;;29/03/22;20.15;04.00;19.00;05.00;25/03/22;17/03/22;
100;CORSO DEGLI ALPINI;10;entrambi;rotatoria all' incrocio con  Via E. Maccani;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
100;CORSO DEGLI ALPINI;10;ovest;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1770;LUNGADIGE MARCO APULEIO;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
570;PIAZZA GEN. A. CANTORE;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
3511;PIAZZALE C. RUSCONI;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
3190;VIA A. STOPPANI;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1970;VIA C. MORONE;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
520;VIA CAIO VALERIO MARIANO;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1020;VIA DOSSO DOSSI;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1570;VIA E. MACCANI;10;entrambi;rotatoria incrocio Via Caduti di Nassiriya;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1570;VIA E. MACCANI;10;ovest;da rotatoria incrocio Via Caduti di Nassiriya a Corso degli Alpini;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1460;VIA G. B. LAMPI;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
420;VIA G. BRESADOLA;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
2070;VIA G. OBERZINER;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
1480;VIA LAVISOTTO;10;entrambi;;;30/03/22;20.15;04.00;19.00;05.00;28/03/22;17/03/22;
2500;LARGO E. PRATI;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
190;VIA ASILO PEDROTTI;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
3801;VIA BEATO G. ALBERIONE;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
2020;VIA DEI MUREDEI;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
470;VIA G. BUCCELLA;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
1560;VIA G. E T. LORENZONI;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
3901;VIA G. MATTEOTTI;17;sud;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
3901;VIA G. MATTEOTTI;17;entrambi;da incrocio Via Ortigara a incrocio VIA G. Buccella;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
1940;VIA MONTE CORNO;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
2660;VIA O. ROVERETI;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
2170;VIA ORTIGARA;17;entrambi;;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
2900;VIA R. DA SANSEVERINO;17;entrambi;parcheggio;;31/03/22;20.15;04.00;19.00;05.00;29/03/22;17/03/22;
