strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
3901;VIA G. MATTEOTTI;17;entrambi;da incrocio Via Ortigara a incrocio VIA G. Buccella;da incrocio Via Ortigara a incrocio VIA G. Buccella;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
3510;VIA VITTORIO VENETO;17;entrambi;da largo E. Prati a rotatoria incrocio Via G.e T. Lorenzoni ;da largo E. Prati a rotatoria incrocio Via G.e T. Lorenzoni ;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
1560;VIA G. E T. LORENZONI;17;entrambi;;;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
2020;VIA DEI MUREDEI;17;entrambi;;;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
2170;VIA ORTIGARA;17;entrambi;;;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
2500;LARGO E. PRATI;17;entrambi;;;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
470;VIA G. BUCCELLA;17;entrambi;;;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
2900;VIA R. DA SANSEVERINO;17;entrambi;parcheggio;parcheggio;01/10/20;20.15;4.00;19.00;5.00;29/09/20;28/09/20;
3050;LARGO N. SAURO;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
3650;VIA A. SCHMID;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
480;CORSO M. BUONARROTI;11;ovest;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
1570;VIA E. MACCANI;11;est;da Corso degli Alpini  a rotatoria incrocio Via Caduti di Nassiriya;da Corso degli Alpini  a rotatoria incrocio Via Caduti di Nassiriya;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
1170;VIA FELICE E G. FONTANA;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
100;CORSO DEGLI ALPINI;11;est;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
3290;VIA TORRE D'AUGUSTO;11;entrambi;da Via A. Manzoni ad Hotel Monaco;da Via A. Manzoni ad Hotel Monaco;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
1660;VIA DELLA MALVASIA;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
