strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
30;VIA J. ACONCIO;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
120;VIA F. AMBROSI;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
700;PIAZZA DI CENTA;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
970;VIA DOGANA;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
1280;VIA A. GAZZOLETTI;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
2360;VIA F. PETRARCA;8;entrambi;compreso parcheggio Petrarca;compreso parcheggio Petrarca;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
2650;VIA G.D. ROMAGNOSI;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
3030;PIAZZA RAFFAELLO SANZIO;8;entrambi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
3100;VIA G. SEGANTINI;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
3370;VIA C. VANNETTI;8;entrambi;;;08/04/2019;20.00;3.30;19.00;5.00;04/04/2019;03/04/2019;03/04/2019
350;VIA B. BOMPORTO;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
440;VIA DI BRIAMASCO;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
1500;PIAZZA LEONARDO DA VINCI;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2060;VICOLO AL NUOTO;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2260;VIA G. PASCOLI;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2530;VIA DELLA PREPOSITURA;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2670;VIA A. ROSMINI;12;est;;lato est ;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2960;VIA SANTA MARGHERITA;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
2990;PIAZZA S. MARIA MAGGIORE;12;entrambi;tratto da Via della Prepositura a Via A. Rosmini;tratto da Via della Prepositura a Via A. Rosmini;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
3220;VIA T. TARAMELLI;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
3340;VIA DEL TRAVAI;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
3440;VIA G. VERDI;12;entrambi;da incrocio Via A. Rosmini a  Via R. da Sanseverino;da incrocio Via A. Rosmini a  Via R. da Sanseverino;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
3540;VIA DON G. B. ZANELLA;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
4030;PIAZZALE DELLA ZUFFO;12;entrambi;;;09/04/2019;20.00;3.30;19.00;5.00;05/04/2019;03/04/2019;03/04/2019
100;CORSO DEGLI ALPINI;10;entrambi;rotatoria all' incrocio con  Via E. Maccani;rotatoria all' incrocio con  Via E. Maccani;10/04/2019;20.00;3.30;19.00;5.00;08/04/2019;03/04/2019;03/04/2019
100;CORSO DEGLI ALPINI;10;ovest;;lato ovest ;10/04/2019;20.00;3.30;19.00;5.00;08/04/2019;03/04/2019;03/04/2019
420;VIA G. BRESADOLA;10;entrambi;;;10/04/2019;20.00;3.30;19.00;5.00;08/04/2019;03/04/2019;03/04/2019
