DATA PULIZIA,CODICE VIA,PERCORSO,Via,DIVIETO DI SOSTA INIZIO,DIVIETO DI SOSTA FINE,NOTE
19/04/2018,760,16,Via Damiano Chiesa,19:00,05:00,
19/04/2018,1140,16,Via F. Filzi,19:00,05:00,
19/04/2018,460,16,Via F.Lli Bronzetti,19:00,05:00,
19/04/2018,2330,16,Via F.Lli Perini ,19:00,05:00,lato nord
19/04/2018,1830,16,Via P. A. Mattioli,19:00,05:00,
19/04/2018,2950,16,Via Santa Croce,19:00,05:00,
19/04/2018,1610,16,Vicolo Card. C. Madruzzo,19:00,05:00,
20/04/2018,2500,17,Largo E. Prati,19:00,05:00,
20/04/2018,190,17,Via Asilo Pedrotti,19:00,05:00,
20/04/2018,2020,17,Via Dei Muredei,19:00,05:00,tutta
20/04/2018,470,17,Via G. Buccella,19:00,05:00,
20/04/2018,1560,17,Via G. E T. Lorenzoni,19:00,05:00,
20/04/2018,3901,17,Via G. Matteotti,19:00,05:00,lato sud
20/04/2018,1940,17,Via Monte Corno,19:00,05:00,
20/04/2018,2660,17,Via O. Rovereti,19:00,05:00,
20/04/2018,2170,17,Via Ortigara,19:00,05:00,
20/04/2018,2900,17,Via R. Da Sanseverino,19:00,05:00,1 entrata parcheggio Sanseverino
20/04/2018,3510,17,Via Vittorio Veneto,19:00,05:00,da via Mattioli a via Bezzi – fino a Monte Baldo
20/04/2018,3801,17,Via Beato G. Alberione,19:00,05:00,
23/04/2018,3500,18,Via A. Vivaldi,19:00,05:00,
23/04/2018,1810,18,Via C. Martini,19:00,05:00,
23/04/2018,2330,18,Via F.Lli Perini ,19:00,05:00,lato sud
23/04/2018,3901,18,Via G. Matteotti,19:00,05:00,lato nord
23/04/2018,3530,18,Via R. Zandonai,19:00,05:00,
23/04/2018,3510,18,Via Vittorio Veneto,19:00,05:00,da via Mattioli a corso 3 Novembre
23/04/2018,2680,18,Viale Rovereto,19:00,05:00,
24/04/2018,1130,19,Piazza Di Fiera,19:00,05:00,
24/04/2018,3905,19,Via Edda Albertini,19:00,05:00,
24/04/2018,1630,19,Via B. Malfatti,19:00,05:00,
24/04/2018,10,19,Via C. Abba,19:00,05:00,
24/04/2018,1900,19,Via Dei Mille,19:00,05:00,lato sud e piazzetta
24/04/2018,1720,19,Via Della Mantovana,19:00,05:00,
24/04/2018,940,19,Via Dietro Le Mura A,19:00,05:00,
24/04/2018,2520,19,Via G. A Prato,19:00,05:00,
24/04/2018,2370,19,Via Piave,19:00,05:00,
24/04/2018,2730,19,Via San Bernardino,19:00,05:00,
24/04/2018,2780,19,Via San Giovanni Bosco,19:00,05:00,
26/04/2018,1340,20,Via B. Giovanelli,19:00,05:00,
26/04/2018,1900,20,Via Dei Mille,19:00,05:00,lato nord
26/04/2018,1920,20,Via Dei Molini,19:00,05:00,
26/04/2018,1400,20,Via Don Giuseppe Grazioli,19:00,05:00,lato nord
26/04/2018,1150,20,Via Fiume,19:00,05:00,
26/04/2018,360,20,Via P. Benedetto Bonelli,19:00,05:00,
26/04/2018,3550,20,Via Zara,19:00,05:00,
26/04/2018,3360,20,Viale Trieste,19:00,05:00,
27/04/2018,1160,21,Via A. Fogazzaro,19:00,05:00,
27/04/2018,40,21,Via Adamello,19:00,05:00,
27/04/2018,300,21,Via Bezzecca,19:00,05:00,
27/04/2018,1370,21,Via Gocciadoro,19:00,05:00,dal largo Donatori volontari sangue alle Arcate
27/04/2018,1650,21,Via Malta,19:00,05:00,
27/04/2018,1890,21,Via Milano,19:00,05:00,lato sud
27/04/2018,2200,21,Via Palermo,19:00,05:00,
27/04/2018,865,21,Via S.F. Crosina – B. Sartori,19:00,05:00,
27/04/2018,3450,21,Viale Verona,19:00,05:00,fino a Via Fogazzaro
30/04/2018,170,22,Via A. Apollonio,19:00,05:00,lato sud
30/04/2018,2050,22,Via A. Nicolodi,19:00,05:00,lato est
30/04/2018,110,22,Via Altipiani,19:00,05:00,
30/04/2018,2210,22,Via G. P. Da Palestrina,19:00,05:00,
30/04/2018,2550,22,Via G. Ranzi,19:00,05:00,
30/04/2018,1380,22,Via Gorizia ,19:00,05:00,alta
30/04/2018,150,22,Via L. Anzoletti,19:00,05:00,lato est
30/04/2018,1890,22,Via Milano ,19:00,05:00,lato nord
30/04/2018,280,22,Via O. Benevoli,19:00,05:00,
30/04/2018,410,22,Via O. Brentari,19:00,05:00,
30/04/2018,2570,22,Via Regina Pacis,19:00,05:00,
30/04/2018,3270,22,Via Tofane,19:00,05:00,
30/04/2018,340,22,Viale N. Bolognini,19:00,05:00,Dal Liceo (ex Dame di Sion) a via Adamello
02/05/2018,975,23,L.Go Donatori Vol. Sangue,19:00,05:00,
02/05/2018,1850,23,Largo Medaglie D'oro,19:00,05:00,
02/05/2018,920,23,Via Al Desert,19:00,05:00,
02/05/2018,1300,23,Via G. Gerola ,19:00,05:00,
