strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
5102;VIA ALTO ADIGE;1;entrambi;da via Alto Adige a confine comune Lavis;;17/09/2018;20.00;03.30;19.00;05.00;13/09/2018;;
5070;VIA BOLZANO;1;entrambi;da via Brennero a via Alto Adige;;17/09/2018;20.00;03.30;19.00;05.00;13/09/2018;;
3880;VIA CADUTI DI NASSIRIYA;1;entrambi;;;17/09/2018;20.00;03.30;19.00;05.00;13/09/2018;;
400;VIA DEL BRENNERO;1;entrambi;da rotatoria Bren Center a Via Bolzano;;17/09/2018;20.00;03.30;19.00;05.00;13/09/2018;;
400;VIA DEL BRENNERO;4;entrambi;dalla rotonda all'incrocio con  Via A. Pranzelores (compresa) a Largo N. Sauro;;24/10/2018;20.00;03.30;19.00;05.00;22/10/2018;;
2480;PIAZZA DELLA PORTELLA;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
1040;PIAZZA DUOMO;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
1550;PIAZZA LODRON;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
2270;PIAZZA M. PASI;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
2990;PIAZZA S. MARIA MAGGIORE;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
2490;VIA A. POZZO;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
680;VIA CAMILLO BENSO CAVOUR;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
2110;VIA DELLE ORFANE;5;entrambi;;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
1230;VIA G. GARIBALDI;5;entrambi;da incrocio Piazza Duomo a incrocio Piazza Pasi;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
1700;VIA G. MANCI;5;entrambi;da incrocio Via R. Belenzani a incrocio Via V. Alfieri;;18/09/2018;20.00;03.30;19.00;05.00;14/09/2018;;
